dataset	perturbation	n_cells	event_effect_size	event_direction	p_value	block_support	direction_stability	event_q_value	pdl1_protein_effect_size	pdl1_protein_direction	pdl1_p_value	pdl1_q_value	event_outcome_direction_match	outcome_correlation	outcome_alignment_pass	axis	reversal_fraction	reversal_class	status	reason	protein_name	spearman	spearman_p	pearson	pearson_p	partial_spearman_adjusted_UMI_MOI	partial_spearman_p	direction_match	level	alignment_pass	n_units	direction_match_fraction
GSE153056	ATF2	1102.0	-0.0037547836341293	down	0.8492497055741356	0.6666666666666666	0.6666666666666666	0.883219693797101	0.0021132440498856	up	0.9430835912194694	0.980806934868248	False	0.7846153846153846	True																	
GSE153056	BRD4	341.0	0.053665326673606	up	0.0756174802163411	0.6666666666666666	0.6666666666666666	0.2457568107031087	0.2894096113705924	up	3.9832352109269927e-10	1.4794873640585975e-09	True	0.7846153846153846	True																	
GSE153056	CAV1	882.0	-0.0110139631519528	down	0.6070866146033116	0.6666666666666666	0.6666666666666666	0.883219693797101	-0.0066365861858752	down	0.8321424129675233	0.9014876140481504	True	0.7846153846153846	True																	
GSE153056	CD86	1197.0	0.01402621887638	up	0.4613237303115354	0.6666666666666666	0.6666666666666666	0.7996277992066614	0.0404043584027382	up	0.1510741996945765	0.261861946137266	True	0.7846153846153846	True																	
GSE153056	CMTM6	817.0	-0.0204680072284022	down	0.3615128882672849	1.0	1.0	0.7230257765345698	-0.4291786437339482	down	1.9661615911389248e-36	1.0224040273922409e-35	True	0.7846153846153846	True																	
GSE153056	CUL3	274.0	0.0413079463592318	up	0.1969300475961731	0.6666666666666666	0.6666666666666666	0.4314814846664601	0.2678865523968037	up	3.715096310845852e-06	1.207406301024902e-05	True	0.7846153846153846	True																	
GSE153056	ETV7	841.0	-0.0055947979474871	down	0.7923874502719712	0.6666666666666666	0.6666666666666666	0.883219693797101	-0.0101429920348188	down	0.7527649808808529	0.8896313410410079	True	0.7846153846153846	True																	
GSE153056	IFNGR1	1341.0	-0.7419727632277232	down	6.090761302811637e-254	1.0	1.0	7.917989693655127e-253	-0.7380638769779715	down	1.2491671470835412e-131	1.082611527472402e-130	True	0.7846153846153846	True																	
GSE153056	IFNGR2	1213.0	-0.8083970279897379	down	5.0006330993044617e-259	1.0	1.0	1.3001646058191597e-257	-0.8361793596864926	down	4.2485169942839044e-165	5.523072092569073e-164	True	0.7846153846153846	True																	
GSE153056	IRF1	1073.0	-0.1373305823616307	down	2.6096249617376537e-13	1.0	1.0	1.35700498010358e-12	-0.2846113793391076	down	7.15867492976921e-20	3.1020924695666587e-19	True	0.7846153846153846	True																	
GSE153056	IRF7	614.0	-0.0184053000808886	down	0.4514168570326724	0.6666666666666666	0.6666666666666666	0.7996277992066614	0.0878704053365257	up	0.0183613515129678	0.0477395139337164	False	0.7846153846153846	True																	
GSE153056	JAK2	1024.0	-0.8087420878425556	down	2.6259865183527684e-245	1.0	1.0	2.2758549825723994e-244	-0.9020233016301836	down	6.3211976442559216e-167	1.6435113875065401e-165	True	0.7846153846153846	True																	
GSE153056	MARCH8	1003.0	-0.0254814596467903	down	0.1991453006152893	1.0	1.0	0.4314814846664601	-0.0414751190793927	down	0.1628796841221032	0.2646794866984178	True	0.7846153846153846	True																	
GSE153056	MYC	109.0	-0.0245930437755297	down	0.6726401891702001	0.6666666666666666	0.6666666666666666	0.883219693797101	0.1348271230142881	up	0.1405634059397675	0.2610463253167111	False	0.7846153846153846	True																	
GSE153056	NFKBIA	787.0	-0.0066417583330811	down	0.7699480856794942	0.6666666666666666	0.6666666666666666	0.883219693797101	0.0643766722038972	up	0.0459052324105234	0.0994613368894675	False	0.7846153846153846	True																	
GSE153056	NT	2386.0	0.0	flat	1.0			1.0	0.0	flat	1.0	1.0	True	0.7846153846153846	True																	
GSE153056	PDCD1LG2	617.0	-0.0099696477540576	down	0.684540758634609	0.6666666666666666	0.6666666666666666	0.883219693797101	-0.0487851410792199	down	0.1924120599258942	0.2655092867673182	True	0.7846153846153846	True																	
GSE153056	POU2F2	662.0	0.0059224808564947	up	0.8006214370712432	0.6666666666666666	0.6666666666666666	0.883219693797101	0.0793341843639918	up	0.024781976520859	0.0585755808674851	True	0.7846153846153846	True																	
GSE153056	SMAD4	659.0	-0.0370943605098543	down	0.0994472489804533	0.6666666666666666	0.6666666666666666	0.2872920526101985	-0.0959082627194636	down	0.0052309222417141	0.0151115531427297	True	0.7846153846153846	True																	
GSE153056	SPI1	48.0	-0.0256326015945895	down	0.7359261869333305	0.3333333333333333	0.3333333333333333	0.883219693797101	-0.1991879115224355	down	0.0895224272864107	0.1790448545728215	True	0.7846153846153846	True																	
GSE153056	STAT1	444.0	-0.9179346001588669	down	2.001551784023745e-117	1.0	1.0	1.301008659615434e-116	-0.6744329641297782	down	7.951704886343804e-49	5.1686081761234726e-48	True	0.7846153846153846	True																	
